Episode Number,PlayTime,Exp Count,Kill
1,247.6652,124,1260
2,247.6652,124,0
3,247.6652,124,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,134,1326
2,300.3331,134,0
3,300.3331,134,0
4,300.3331,134,0
5,300.3331,134,0
6,300.3331,134,0
7,300.3331,134,0
8,300.3331,134,0
9,300.3331,134,0
10,300.3331,134,0
11,300.3331,134,0
12,300.3331,134,0
13,300.3331,134,0
14,300.3331,134,0
15,300.3331,134,0
16,300.3331,134,0
17,300.3331,134,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,152,1488
2,300.3331,152,0
3,300.3331,152,0
4,300.3331,152,0
5,300.3331,152,0
6,300.3331,152,0
7,300.3331,152,0
8,300.3331,152,0
9,300.3331,152,0
10,300.3331,152,0
11,300.3331,152,0
12,300.3331,152,0
13,300.3331,152,0
14,300.3331,152,0
15,300.3331,152,0
16,300.3331,152,0
Episode Number,PlayTime,Exp Count,Kill
1,259.6652,117,1203
2,259.6652,117,0
3,259.6652,117,0
4,259.6652,117,0
5,259.6652,117,0
6,259.6652,117,0
7,259.6652,117,0
8,259.6652,117,0
9,259.6652,117,0
10,259.6652,117,0
11,259.6652,117,0
12,259.6652,117,0
Episode Number,PlayTime,Exp Count,Kill
1,264.9987,111,1307
2,264.9987,111,0
3,264.9987,111,0
4,264.9987,111,0
5,264.9987,111,0
6,264.9987,111,0
7,264.9987,111,0
8,264.9987,111,0
9,264.9987,111,0
10,264.9987,111,0
Episode Number,PlayTime,Exp Count,Kill
1,225.9989,92,1069
2,225.9989,92,0
3,225.9989,92,0
4,225.9989,92,0
5,225.9989,92,0
6,225.9989,92,0
7,225.9989,92,0
8,225.9989,92,0
9,225.9989,92,0
10,225.9989,92,0
11,225.9989,92,0
12,225.9989,92,0
13,225.9989,92,0
14,225.9989,92,0
15,225.9989,92,0
16,225.9989,92,0
17,225.9989,92,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,129,1451
2,300.3331,129,0
3,300.3331,129,0
4,300.3331,129,0
5,300.3331,129,0
6,300.3331,129,0
7,300.3331,129,0
8,300.3331,129,0
9,300.3331,129,0
10,300.3331,129,0
11,300.3331,129,0
12,300.3331,129,0
13,300.3331,129,0
14,300.3331,129,0
15,300.3331,129,0
16,300.3331,129,0
17,300.3331,129,0
Episode Number,PlayTime,Exp Count,Kill
1,266.6654,141,1367
2,266.6654,141,0
3,266.6654,141,0
4,266.6654,141,0
5,266.6654,141,0
6,266.6654,141,0
7,266.6654,141,0
8,266.6654,141,0
9,266.6654,141,0
10,266.6654,141,0
Episode Number,PlayTime,Exp Count,Kill
1,273.999,87,1256
2,273.999,87,0
3,273.999,87,1
4,273.999,87,0
5,273.999,87,0
6,273.999,87,0
7,273.999,87,0
8,273.999,87,0
9,273.999,87,0
10,273.999,87,0
11,273.999,87,0
12,273.999,87,0
13,273.999,87,0
14,273.999,87,0
15,273.999,87,0
16,273.999,87,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,184,1429
2,300.3331,184,0
3,300.3331,184,0
4,300.3331,184,0
5,300.3331,184,0
6,300.3331,184,0
7,300.3331,184,0
8,300.3331,184,0
9,300.3331,184,0
10,300.3331,184,0
11,300.3331,184,0
12,300.3331,184,0
13,300.3331,184,0
14,300.3331,184,0
15,300.3331,184,0
16,300.3331,184,0
17,300.3331,184,0
Episode Number,PlayTime,Exp Count,Kill
1,211.9991,85,1018
2,211.9991,85,0
3,211.9991,85,0
4,211.9991,85,0
5,211.9991,85,0
6,211.9991,85,0
7,211.9991,85,0
8,211.9991,85,0
9,211.9991,85,0
10,211.9991,85,0
11,211.9991,85,0
Episode Number,PlayTime,Exp Count,KillEpisode Number,PlayTime,Exp Count,Kill
1,300.3331,159,1359
2,300.3331,159,0
3,300.3331,159,0
4,300.3331,159,0
5,300.3331,159,0
6,300.3331,159,0
7,300.3331,159,0
8,300.3331,159,0
9,300.3331,159,0
10,300.3331,159,0
11,300.3331,159,0
12,300.3331,159,0
13,300.3331,159,0
14,300.3331,159,0
15,300.3331,159,0
16,300.3331,159,0
17,300.3331,159,0
Episode Number,PlayTime,Exp Count,Kill
1,251.6652,106,1228
2,251.6652,107,0
3,251.6652,107,0
4,251.6652,107,0
5,251.6652,107,0
6,251.6652,107,0
7,251.6652,107,0
Episode Number,PlayTime,Exp Count,Kill
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,184,1442
2,300.3331,184,0
3,300.3331,184,0
4,300.3331,184,0
5,300.3331,184,0
6,300.3331,184,0
7,300.3331,184,0
8,300.3331,184,0
9,300.3331,184,0
10,300.3331,184,0
11,300.3331,184,0
12,300.3331,184,0
13,300.3331,184,0
14,300.3331,184,0
15,300.3331,184,0
16,300.3331,184,0
17,300.3331,184,0
Episode Number,PlayTime,Exp Count,Kill
1,270.3322,131,1279
2,270.3322,131,0
3,270.3322,131,0
4,270.3322,131,0
5,270.3322,131,0
6,270.3322,131,0
Episode Number,PlayTime,Exp Count,Kill
1,242.6653,96,1221
2,242.6653,96,0
3,242.6653,96,0
4,242.6653,96,0
5,242.6653,96,0
6,242.6653,96,0
7,242.6653,96,0
Episode Number,PlayTime,Exp Count,Kill
1,235.9987,77,1142
2,235.9987,77,0
Episode Number,PlayTime,Exp Count,Kill
1,251.9985,93,1164
2,251.9985,93,0
3,251.9985,93,0
4,251.9985,93,0
5,251.9985,93,0
6,251.9985,93,0
7,251.9985,93,0
8,251.9985,93,0
9,251.9985,93,0
10,251.9985,93,0
11,251.9985,93,0
12,251.9985,93,0
13,251.9985,93,0
14,251.9985,93,0
15,251.9985,93,0
16,251.9985,93,0
17,251.9985,93,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,136,1468
2,300.3331,136,0
3,300.3331,136,0
4,300.3331,136,0
5,300.3331,136,0
6,300.3331,136,0
7,300.3331,136,0
8,300.3331,136,0
9,300.3331,136,0
10,300.3331,136,0
11,300.3331,136,0
12,300.3331,136,0
13,300.3331,136,0
14,300.3331,136,0
15,300.3331,136,0
16,300.3331,136,0
17,300.3331,136,0
Episode Number,PlayTime,Exp Count,Kill
1,265.6654,58,1154
2,265.6654,58,0
3,265.6654,58,0
4,265.6654,58,0
5,265.6654,58,0
6,265.6654,58,0
7,265.6654,58,0
Episode Number,PlayTime,Exp Count,Kill
1,296.333,119,1300
2,296.333,119,0
3,296.333,119,0
4,296.333,119,0
5,296.333,119,0
Episode Number,PlayTime,Exp Count,Kill
1,238.9987,82,1197
2,238.9987,82,0
3,238.9987,82,0
4,238.9987,82,0
5,238.9987,82,1
6,238.9987,82,0
7,238.9987,82,0
8,238.9987,82,0
9,238.9987,82,0
10,238.9987,82,0
11,238.9987,82,0
12,238.9987,82,0
13,238.9987,82,0
14,238.9987,82,0
15,238.9987,82,0
Episode Number,PlayTime,Exp Count,Kill
1,226.3322,79,1219
2,226.3322,79,0
3,226.3322,79,0
4,226.3322,79,0
5,226.3322,79,0
